CITY,STATE,ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,QUANTITYORDERED_is_outlier,PRICEEACH_is_outlier,SALES_is_outlier,MSRP_is_outlier,QUANTITYORDERED_capped,PRICEEACH_capped,SALES_capped,MSRP_capped
Melbourne,Victoria,10223,37,100.0,1,3965.66,Shipped,1,2,2004,Motorcycles,95,S10_1678,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,3004,Australia,APAC,Ferguson,Peter,Medium,false,false,false,false,37.0,100.0,3965.66,95.0
NYC,NY,10237,23,100.0,7,2333.12,Shipped,2,4,2004,Motorcycles,95,S10_1678,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,10022,USA,NA,Frick,Michael,Small,false,false,false,false,23.0,100.0,2333.12,95.0
Newark,NJ,10251,28,100.0,2,3188.64,Shipped,2,5,2004,Motorcycles,95,S10_1678,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,NOT PROVIDED,94019,USA,NA,Brown,William,Medium,false,false,false,false,28.0,100.0,3188.64,95.0
Bridgewater,CT,10263,34,100.0,2,3676.76,Shipped,2,6,2004,Motorcycles,95,S10_1678,Gift Depot Inc.,2035552570,25593 South Bay Ln.,NOT PROVIDED,97562,USA,NA,King,Julie,Medium,false,false,false,false,34.0,100.0,3676.76,95.0
Nantes,Nantes,10275,45,92.83,1,4177.35,Shipped,3,7,2004,Motorcycles,95,S10_1678,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",NOT PROVIDED,44000,France,EMEA,Labrune,Janine,Medium,false,false,false,false,45.0,92.83,4177.35,95.0
Cambridge,MA,10285,36,100.0,6,4099.68,Shipped,3,8,2004,Motorcycles,95,S10_1678,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,NOT PROVIDED,51247,USA,NA,Hernandez,Marta,Medium,false,false,false,false,36.0,100.0,4099.68,95.0
Helsinki,Helsinki,10299,23,100.0,9,2597.39,Shipped,3,9,2004,Motorcycles,95,S10_1678,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,NOT PROVIDED,21240,Finland,EMEA,Karttunen,Matti,Small,false,false,false,false,23.0,100.0,2597.39,95.0
Stavern,Stavern,10309,41,100.0,5,4394.38,Shipped,4,10,2004,Motorcycles,95,S10_1678,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,NOT PROVIDED,4110,Norway,EMEA,Bergulfsen,Jonas,Medium,false,false,false,false,41.0,100.0,4394.38,95.0
Allentown,PA,10318,46,94.74,1,4358.04,Shipped,4,11,2004,Motorcycles,95,S10_1678,Diecast Classics Inc.,2155551555,7586 Pompton St.,NOT PROVIDED,70267,USA,NA,Yu,Kyung,Medium,false,false,false,false,46.0,94.74,4358.04,95.0
NYC,NY,10329,42,100.0,1,4396.14,Shipped,4,11,2004,Motorcycles,95,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NOT PROVIDED,10022,USA,NA,Yu,Kwai,Medium,false,false,false,false,42.0,100.0,4396.14,95.0
Salzburg,Salzburg,10341,41,100.0,9,7737.93,Shipped,4,11,2004,Motorcycles,95,S10_1678,Salzburg Collectables,6562-9555,Geislweg 14,NOT PROVIDED,5020,Austria,EMEA,Pipps,Georg,Large,false,false,false,false,41.0,100.0,7737.93,95.0
Chatswood,NSW,10361,20,72.55,13,1451.0,Shipped,4,12,2004,Motorcycles,95,S10_1678,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,2067,Australia,APAC,Huxley,Adrian,Small,false,false,false,false,20.0,72.55,1451.0,95.0
Nantes,Nantes,10375,21,34.91,12,733.11,Shipped,1,2,2005,Motorcycles,95,S10_1678,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",NOT PROVIDED,44000,France,EMEA,Labrune,Janine,Small,false,false,false,false,21.0,34.91,733.11,95.0
New Bedford,MA,10388,42,76.36,4,3207.12,Shipped,1,3,2005,Motorcycles,95,S10_1678,FunGiftIdeas.com,5085552555,1785 First Street,NOT PROVIDED,50553,USA,NA,Benitez,Violeta,Medium,false,false,false,false,42.0,76.36,3207.12,95.0
Liverpool,Liverpool,10403,24,100.0,7,2434.56,Shipped,2,4,2005,Motorcycles,95,S10_1678,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,NOT PROVIDED,WX1 6LT,UK,EMEA,Devon,Elizabeth,Small,false,false,false,false,24.0,100.0,2434.56,95.0
Madrid,Madrid,10417,66,100.0,2,7516.08,Disputed,2,5,2005,Motorcycles,95,S10_1678,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",NOT PROVIDED,28034,Spain,EMEA,Freyre,Diego,Large,false,false,false,false,66.0,100.0,7516.08,95.0
Stavern,Stavern,10103,26,100.0,11,5404.62,Shipped,1,1,2003,Classic Cars,214,S10_1949,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,NOT PROVIDED,4110,Norway,EMEA,Bergulfsen,Jonas,Medium,false,false,false,true,26.0,100.0,5404.62,208.0
Lule,Lule,10112,29,100.0,1,7209.11,Shipped,1,3,2003,Classic Cars,214,S10_1949,"Volvo Model Replicas, Co",0921-12 3555,Berguvsv�gen  8,NOT PROVIDED,S-958 22,Sweden,EMEA,Berglund,Christina,Large,false,false,false,true,29.0,100.0,7209.11,208.0
Madrid,Madrid,10126,38,100.0,11,7329.06,Shipped,2,5,2003,Classic Cars,214,S10_1949,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",NOT PROVIDED,28023,Spain,EMEA,Sommer,Mart�n,Large,false,false,false,true,38.0,100.0,7329.06,208.0
Burlingame,CA,10140,37,100.0,11,7374.1,Shipped,3,7,2003,Classic Cars,214,S10_1949,Technics Stores Inc.,6505556809,9408 Furth Circle,NOT PROVIDED,94217,USA,NA,Hirano,Juri,Large,false,false,false,true,37.0,100.0,7374.1,208.0
Singapore,Singapore,10150,45,100.0,8,10993.5,Shipped,3,9,2003,Classic Cars,214,S10_1949,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",NOT PROVIDED,79903,Singapore,Japan,Natividad,Eric,Large,false,false,true,true,45.0,100.0,7820.545000000001,208.0
NYC,NY,10163,21,100.0,1,4860.24,Shipped,4,10,2003,Classic Cars,214,S10_1949,Classic Legends Inc.,2125558493,5905 Pompton St.,Suite 750,10022,USA,NA,Hernandez,Maria,Medium,false,false,false,true,21.0,100.0,4860.24,208.0
South Brisbane,Queensland,10174,34,100.0,4,8014.82,Shipped,4,11,2003,Classic Cars,214,S10_1949,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,NOT PROVIDED,4101,Australia,APAC,Calaghan,Tony,Large,false,false,true,true,34.0,100.0,7820.545000000001,208.0
Philadelphia,PA,10183,23,100.0,8,5372.57,Shipped,4,11,2003,Classic Cars,214,S10_1949,"Classic Gift Ideas, Inc",2155554695,782 First Street,NOT PROVIDED,71270,USA,NA,Cervantes,Francisca,Medium,false,false,false,true,23.0,100.0,5372.57,208.0
Lyon,Lyon,10194,42,100.0,11,7290.36,Shipped,4,11,2003,Classic Cars,214,S10_1949,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",NOT PROVIDED,69004,France,EMEA,Saveley,Mary,Large,false,false,false,true,42.0,100.0,7290.36,208.0
Vancouver,BC,10206,47,100.0,6,9064.89,Shipped,4,12,2003,Classic Cars,214,S10_1949,Canadian Gift Exchange Network,(604) 555-3392,1900 Oak St.,NOT PROVIDED,V3F 2K1,Canada,NA,Tannamuri,Yoshi,Large,false,false,true,true,47.0,100.0,7820.545000000001,208.0
Burbank,CA,10215,35,100.0,3,6075.3,Shipped,1,1,2004,Classic Cars,214,S10_1949,West Coast Collectables Co.,3105553722,3675 Furth Circle,NOT PROVIDED,94019,USA,NA,Thompson,Steve,Medium,false,false,false,true,35.0,100.0,6075.3,208.0
Cambridge,MA,10228,29,100.0,2,6463.23,Shipped,1,3,2004,Classic Cars,214,S10_1949,Cambridge Collectables Co.,6175555555,4658 Baden Av.,NOT PROVIDED,51247,USA,NA,Tseng,Kyung,Medium,false,false,false,true,29.0,100.0,6463.23,208.0
New Haven,CT,10245,34,100.0,9,6120.34,Shipped,2,5,2004,Classic Cars,214,S10_1949,Super Scale Inc.,2035559545,567 North Pendale Street,NOT PROVIDED,97823,USA,NA,Murphy,Leslie,Medium,false,false,false,true,34.0,100.0,6120.34,208.0
Minato-ku,Tokyo,10258,32,100.0,6,7680.64,Shipped,2,6,2004,Classic Cars,214,S10_1949,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,NOT PROVIDED,106-0032,Japan,Japan,Shimamura,Akiko,Large,false,false,false,true,32.0,100.0,7680.64,208.0
Chatswood,NSW,10270,21,100.0,9,4905.39,Shipped,3,7,2004,Classic Cars,214,S10_1949,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,2067,Australia,APAC,Huxley,Adrian,Medium,false,false,false,true,21.0,100.0,4905.39,208.0
Torino,Torino,10280,34,100.0,2,8014.82,Shipped,3,8,2004,Classic Cars,214,S10_1949,Amica Models & Co.,011-4988555,Via Monte Bianco 34,NOT PROVIDED,10100,Italy,EMEA,Accorti,Paolo,Large,false,false,true,true,34.0,100.0,7820.545000000001,208.0
Boras,Boras,10291,37,100.0,11,7136.19,Shipped,3,9,2004,Classic Cars,214,S10_1949,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,NOT PROVIDED,S-844 67,Sweden,EMEA,Larsson,Maria,Large,false,false,false,true,37.0,100.0,7136.19,208.0
Versailles,Versailles,10304,47,100.0,6,10172.7,Shipped,4,10,2004,Classic Cars,214,S10_1949,Auto Assoc. & Cie.,30.59.8555,"67, avenue de l'Europe",NOT PROVIDED,78000,France,EMEA,Tonini,Daniel,Large,false,false,true,true,47.0,100.0,7820.545000000001,208.0
San Rafael,CA,10312,48,100.0,3,11623.7,Shipped,4,10,2004,Classic Cars,214,S10_1949,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,NOT PROVIDED,97562,USA,NA,Nelson,Valarie,Large,false,false,true,true,48.0,100.0,7820.545000000001,208.0
Nashua,NH,10322,40,100.0,1,6000.4,Shipped,4,11,2004,Classic Cars,214,S10_1949,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,NOT PROVIDED,62005,USA,NA,Young,Valarie,Medium,false,false,false,true,40.0,100.0,6000.4,208.0
San Francisco,CA,10333,26,100.0,3,3003.0,Shipped,4,11,2004,Classic Cars,214,S10_1949,Mini Wheels Co.,6505555787,5557 North Pendale Street,NOT PROVIDED,CA00000,USA,NA,Murphy,Julie,Medium,false,false,false,true,26.0,100.0,3003.0,208.0
Melbourne,Victoria,10347,30,100.0,1,3944.7,Shipped,4,11,2004,Classic Cars,214,S10_1949,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,3004,Australia,APAC,Ferguson,Peter,Medium,false,false,false,true,30.0,100.0,3944.7,208.0
San Rafael,CA,10357,32,100.0,10,5691.84,Shipped,4,12,2004,Classic Cars,214,S10_1949,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,NOT PROVIDED,97562,USA,NA,Nelson,Valarie,Medium,false,false,false,true,32.0,100.0,5691.84,208.0
Brickhaven,MA,10369,41,100.0,2,4514.92,Shipped,1,1,2005,Classic Cars,214,S10_1949,Collectables For Less Inc.,6175558555,7825 Douglas Av.,NOT PROVIDED,58339,USA,NA,Nelson,Allen,Medium,false,false,false,true,41.0,100.0,4514.92,208.0
San Francisco,CA,10381,36,100.0,3,8254.8,Shipped,1,2,2005,Classic Cars,214,S10_1949,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,NOT PROVIDED,CA00000,USA,NA,Brown,Julie,Large,false,false,true,true,36.0,100.0,7820.545000000001,208.0
North Sydney,NSW,10391,24,100.0,4,2416.56,Shipped,1,3,2005,Classic Cars,214,S10_1949,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,Level 15,2060,Australia,APAC,O'Hara,Anna,Small,false,false,false,true,24.0,100.0,2416.56,208.0
Montreal,Quebec,10411,23,100.0,9,4140.23,Shipped,2,5,2005,Classic Cars,214,S10_1949,Quebec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,NOT PROVIDED,H1J 1C3,Canada,NA,Fresnisre,Jean,Medium,false,false,false,true,23.0,100.0,4140.23,208.0
Madrid,Madrid,10424,50,100.0,6,12001.0,In Process,2,5,2005,Classic Cars,214,S10_1949,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",NOT PROVIDED,28034,Spain,EMEA,Freyre,Diego,Large,false,false,true,true,50.0,100.0,7820.545000000001,208.0
NYC,NY,10107,39,99.91,5,3896.49,Shipped,1,2,2003,Motorcycles,118,S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NOT PROVIDED,10022,USA,NA,Yu,Kwai,Medium,false,false,false,false,39.0,99.91,3896.49,118.0
Melbourne,Victoria,10120,29,96.34,3,2793.86,Shipped,2,4,2003,Motorcycles,118,S10_2016,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,3004,Australia,APAC,Ferguson,Peter,Small,false,false,false,false,29.0,96.34,2793.86,118.0
Paris,Paris,10134,27,100.0,5,3307.77,Shipped,3,7,2003,Motorcycles,118,S10_2016,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,NOT PROVIDED,75508,France,EMEA,Da Cunha,Daniel,Medium,false,false,false,false,27.0,100.0,3307.77,118.0
Pasadena,CA,10145,37,100.0,9,5192.95,Shipped,3,8,2003,Motorcycles,118,S10_2016,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,NOT PROVIDED,90003,USA,NA,Young,Julie,Medium,false,false,false,false,37.0,100.0,5192.95,118.0
San Francisco,CA,10159,37,100.0,17,5016.83,Shipped,4,10,2003,Motorcycles,118,S10_2016,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,NOT PROVIDED,CA00000,USA,NA,Brown,Julie,Medium,false,false,false,false,37.0,100.0,5016.83,118.0
Burlingame,CA,10168,27,100.0,4,3660.93,Shipped,4,10,2003,Motorcycles,118,S10_2016,Technics Stores Inc.,6505556809,9408 Furth Circle,NOT PROVIDED,94217,USA,NA,Hirano,Juri,Medium,false,false,false,false,27.0,100.0,3660.93,118.0
Lille,Lille,10180,42,100.0,12,4695.6,Shipped,4,11,2003,Motorcycles,118,S10_2016,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",NOT PROVIDED,59000,France,EMEA,Rance,Martine,Medium,false,false,false,false,42.0,100.0,4695.6,118.0
Bergen,Bergen,10188,38,96.34,4,3660.92,Shipped,4,11,2003,Motorcycles,118,S10_2016,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",NOT PROVIDED,N 5804,Norway,EMEA,Oeztan,Veysel,Medium,false,false,false,false,38.0,96.34,3660.92,118.0
San Francisco,CA,10201,24,100.0,5,3025.92,Shipped,4,12,2003,Motorcycles,118,S10_2016,Mini Wheels Co.,6505555787,5557 North Pendale Street,NOT PROVIDED,CA00000,USA,NA,Murphy,Julie,Medium,false,false,false,false,24.0,100.0,3025.92,118.0
Osaka,Osaka,10210,23,100.0,2,3009.09,Shipped,1,1,2004,Motorcycles,118,S10_2016,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",NOT PROVIDED,530-0003,Japan,Japan,Kentary,Mory,Medium,false,false,false,false,23.0,100.0,3009.09,118.0
Melbourne,Victoria,10223,47,100.0,4,5422.39,Shipped,1,2,2004,Motorcycles,118,S10_2016,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,3004,Australia,APAC,Ferguson,Peter,Medium,false,false,false,false,47.0,100.0,5422.39,118.0
Philadelphia,PA,10236,22,100.0,1,2852.08,Shipped,2,4,2004,Motorcycles,118,S10_2016,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,NOT PROVIDED,71270,USA,NA,Hernandez,Rosa,Small,false,false,false,false,22.0,100.0,2852.08,118.0
Newark,NJ,10251,44,100.0,5,5756.52,Shipped,2,5,2004,Motorcycles,118,S10_2016,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,NOT PROVIDED,94019,USA,NA,Brown,William,Medium,false,false,false,false,44.0,100.0,5756.52,118.0
Bridgewater,CT,10263,40,100.0,5,4472.0,Shipped,2,6,2004,Motorcycles,118,S10_2016,Gift Depot Inc.,2035552570,25593 South Bay Ln.,NOT PROVIDED,97562,USA,NA,King,Julie,Medium,false,false,false,false,40.0,100.0,4472.0,118.0
Nantes,Nantes,10275,22,100.0,4,2904.44,Shipped,3,7,2004,Motorcycles,118,S10_2016,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",NOT PROVIDED,44000,France,EMEA,Labrune,Janine,Small,false,false,false,false,22.0,100.0,2904.44,118.0
Cambridge,MA,10285,47,100.0,9,6484.59,Shipped,3,8,2004,Motorcycles,118,S10_2016,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,NOT PROVIDED,51247,USA,NA,Hernandez,Marta,Medium,false,false,false,false,47.0,100.0,6484.59,118.0
Nantes,Nantes,10298,39,96.34,1,3757.26,Shipped,3,9,2004,Motorcycles,118,S10_2016,Atelier graphique,40.32.2555,"54, rue Royale",NOT PROVIDED,44000,France,EMEA,Schmitt,Carine,Medium,false,false,false,false,39.0,96.34,3757.26,118.0
White Plains,NY,10308,34,100.0,2,4043.96,Shipped,4,10,2004,Motorcycles,118,S10_2016,Mini Classics,9145554562,3758 North Pendale Street,NOT PROVIDED,24067,USA,NA,Frick,Steve,Medium,false,false,false,false,34.0,100.0,4043.96,118.0
Allentown,PA,10318,45,100.0,4,5566.5,Shipped,4,11,2004,Motorcycles,118,S10_2016,Diecast Classics Inc.,2155551555,7586 Pompton St.,NOT PROVIDED,70267,USA,NA,Yu,Kyung,Medium,false,false,false,false,45.0,100.0,5566.5,118.0
NYC,NY,10329,20,100.0,2,3176.0,Shipped,4,11,2004,Motorcycles,118,S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NOT PROVIDED,10022,USA,NA,Yu,Kwai,Medium,false,false,false,false,20.0,100.0,3176.0,118.0
Minato-ku,Tokyo,10339,40,68.92,4,2756.8,Shipped,4,11,2004,Motorcycles,118,S10_2016,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,NOT PROVIDED,106-0032,Japan,Japan,Shimamura,Akiko,Small,false,false,false,false,40.0,68.92,2756.8,118.0
Chatswood,NSW,10361,26,51.15,8,1329.9,Shipped,4,12,2004,Motorcycles,118,S10_2016,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,2067,Australia,APAC,Huxley,Adrian,Small,false,false,false,false,26.0,51.15,1329.9,118.0
South Brisbane,Queensland,10374,39,100.0,5,5288.01,Shipped,1,2,2005,Motorcycles,118,S10_2016,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,NOT PROVIDED,4101,Australia,APAC,Calaghan,Tony,Medium,false,false,false,false,39.0,100.0,5288.01,118.0
New Bedford,MA,10388,50,44.51,5,2225.5,Shipped,1,3,2005,Motorcycles,118,S10_2016,FunGiftIdeas.com,5085552555,1785 First Street,NOT PROVIDED,50553,USA,NA,Benitez,Violeta,Small,false,false,false,false,50.0,44.51,2225.5,118.0
Paris,Paris,10402,45,100.0,1,5833.8,Shipped,2,4,2005,Motorcycles,118,S10_2016,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",NOT PROVIDED,75016,France,EMEA,Perrier,Dominique,Medium,false,false,false,false,45.0,100.0,5833.8,118.0
Madrid,Madrid,10417,45,100.0,5,5887.35,Disputed,2,5,2005,Motorcycles,118,S10_2016,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",NOT PROVIDED,28034,Spain,EMEA,Freyre,Diego,Medium,false,false,false,false,45.0,100.0,5887.35,118.0
NYC,NY,10107,27,100.0,4,6065.55,Shipped,1,2,2003,Motorcycles,193,S10_4698,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NOT PROVIDED,10022,USA,NA,Yu,Kwai,Medium,false,false,false,false,27.0,100.0,6065.55,193.0
Melbourne,Victoria,10120,46,100.0,2,9264.86,Shipped,2,4,2003,Motorcycles,193,S10_4698,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,3004,Australia,APAC,Ferguson,Peter,Large,false,false,true,false,46.0,100.0,7820.545000000001,193.0
Paris,Paris,10134,31,100.0,4,7023.98,Shipped,3,7,2003,Motorcycles,193,S10_4698,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,NOT PROVIDED,75508,France,EMEA,Da Cunha,Daniel,Large,false,false,false,false,31.0,100.0,7023.98,193.0
Pasadena,CA,10145,33,100.0,8,5176.38,Shipped,3,8,2003,Motorcycles,193,S10_4698,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,NOT PROVIDED,90003,USA,NA,Young,Julie,Medium,false,false,false,false,33.0,100.0,5176.38,193.0
San Francisco,CA,10159,22,100.0,16,4132.7,Shipped,4,10,2003,Motorcycles,193,S10_4698,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,NOT PROVIDED,CA00000,USA,NA,Brown,Julie,Medium,false,false,false,false,22.0,100.0,4132.7,193.0
Burlingame,CA,10168,20,100.0,3,4183.0,Shipped,4,10,2003,Motorcycles,193,S10_4698,Technics Stores Inc.,6505556809,9408 Furth Circle,NOT PROVIDED,94217,USA,NA,Hirano,Juri,Medium,false,false,false,false,20.0,100.0,4183.0,193.0
Lille,Lille,10180,41,100.0,11,8892.9,Shipped,4,11,2003,Motorcycles,193,S10_4698,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",NOT PROVIDED,59000,France,EMEA,Rance,Martine,Large,false,false,true,false,41.0,100.0,7820.545000000001,193.0
Bergen,Bergen,10188,45,100.0,3,8714.7,Shipped,4,11,2003,Motorcycles,193,S10_4698,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",NOT PROVIDED,N 5804,Norway,EMEA,Oeztan,Veysel,Large,false,false,true,false,45.0,100.0,7820.545000000001,193.0
San Francisco,CA,10201,49,100.0,4,8065.89,Shipped,4,12,2003,Motorcycles,193,S10_4698,Mini Wheels Co.,6505555787,5557 North Pendale Street,NOT PROVIDED,CA00000,USA,NA,Murphy,Julie,Large,false,false,true,false,49.0,100.0,7820.545000000001,193.0
Osaka,Osaka,10210,34,100.0,1,6123.4,Shipped,1,1,2004,Motorcycles,193,S10_4698,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",NOT PROVIDED,530-0003,Japan,Japan,Kentary,Mory,Medium,false,false,false,false,34.0,100.0,6123.4,193.0
Melbourne,Victoria,10223,49,100.0,3,9774.03,Shipped,1,2,2004,Motorcycles,193,S10_4698,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,3004,Australia,APAC,Ferguson,Peter,Large,false,false,true,false,49.0,100.0,7820.545000000001,193.0
NYC,NY,10237,39,100.0,9,7023.9,Shipped,2,4,2004,Motorcycles,193,S10_4698,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,10022,USA,NA,Frick,Michael,Large,false,false,false,false,39.0,100.0,7023.9,193.0
Newark,NJ,10251,43,100.0,4,7078.23,Shipped,2,5,2004,Motorcycles,193,S10_4698,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,NOT PROVIDED,94019,USA,NA,Brown,William,Large,false,false,false,false,43.0,100.0,7078.23,193.0
Bridgewater,CT,10263,41,100.0,4,8336.94,Shipped,2,6,2004,Motorcycles,193,S10_4698,Gift Depot Inc.,2035552570,25593 South Bay Ln.,NOT PROVIDED,97562,USA,NA,King,Julie,Large,false,false,true,false,41.0,100.0,7820.545000000001,193.0
